Particip,Happ_Angry,Script,Angry-Rating,Happy-Rating,Prosody, 
4.00,1.00,1.00,4.00,1.00,Angry,
5.00,1.00,1.00,3.00,2.00,Angry,
7.00,2.00,1.00,3.00,1.00,Angry,
8.00,2.00,1.00,4.00,1.00,Angry,
9.00,2.00,1.00,3.00,1.00,Angry,
12.00,88.00,1.00,4.00,1.00,Angry,
13.00,1.00,1.00,4.00,1.00,Angry,
14.00,2.00,1.00,4.00,1.00,Angry,
15.00,2.00,1.00,4.00,1.00,Angry,
16.00,2.00,1.00,3.00,1.00,Angry,
17.00,2.00,1.00,3.00,1.00,Angry,
18.00,88.00,1.00,3.00,2.00,Angry,
21.00,1.00,1.00,3.00,1.00,Angry,
24.00,2.00,1.00,4.00,1.00,Angry,
25.00,2.00,1.00,1.00,1.00,Angry,
26.00,88.00,1.00,2.00,1.00,Angry,
27.00,1.00,1.00,4.00,1.00,Angry,
28.00,1.00,1.00,3.00,1.00,Angry,
33.00,1.00,1.00,2.00,1.00,Angry,
34.00,1.00,1.00,3.00,2.00,Angry,
35.00,1.00,1.00,3.00,1.00,Angry,
36.00,1.00,1.00,4.00,1.00,Angry,
37.00,1.00,1.00,3.00,2.00,Angry,
38.00,2.00,1.00,4.00,4.00,Angry,
39.00,1.00,1.00,2.00,1.00,Angry,
40.00,2.00,1.00,3.00,1.00,Angry,
4.00,1.00,2,4.00,1.00,Angry,
5.00,1.00,2,3.00,1.00,Angry,
7.00,2.00,2,3.00,1.00,Angry,
8.00,2.00,2,2.00,1.00,Angry,
9.00,2.00,2,1.00,1.00,Angry,
12.00,88.00,2,4.00,1.00,Angry,
13.00,1.00,2,4.00,1.00,Angry,
14.00,2.00,2,4.00,1.00,Angry,
15.00,2.00,2,4.00,1.00,Angry,
16.00,2.00,2,4.00,1.00,Angry,
17.00,2.00,2,2.00,1.00,Angry,
18.00,88.00,2,3.00,1.00,Angry,
21.00,1.00,2,4.00,1.00,Angry,
24.00,2.00,2,3.00,1.00,Angry,
25.00,2.00,2,4.00,1.00,Angry,
26.00,88.00,2,2.00,1.00,Angry,
27.00,1.00,2,4.00,1.00,Angry,
28.00,1.00,2,2.00,1.00,Angry,
33.00,1.00,2,2.00,1.00,Angry,
34.00,1.00,2,3.00,1.00,Angry,
35.00,1.00,2,4.00,1.00,Angry,
36.00,1.00,2,4.00,1.00,Angry,
37.00,1.00,2,3.00,2.00,Angry,
38.00,2.00,2,4.00,3.00,Angry,
39.00,1.00,2,2.00,1.00,Angry,
40.00,2.00,2,3.00,1.00,Angry,
4.00,1.00,3,4.00,1.00,Angry,
5.00,1.00,3,3.00,2.00,Angry,
7.00,2.00,3,4.00,1.00,Angry,
8.00,2.00,3,3.00,1.00,Angry,
9.00,2.00,3,2.00,1.00,Angry,
12.00,88.00,3,3.00,1.00,Angry,
13.00,1.00,3,4.00,1.00,Angry,
14.00,2.00,3,4.00,1.00,Angry,
15.00,2.00,3,4.00,1.00,Angry,
16.00,2.00,3,2.00,2.00,Angry,
17.00,2.00,3,2.00,1.00,Angry,
18.00,88.00,3,2.00,3.00,Angry,
21.00,1.00,3,4.00,1.00,Angry,
24.00,2.00,3,3.00,1.00,Angry,
25.00,2.00,3,3.00,1.00,Angry,
26.00,88.00,3,3.00,1.00,Angry,
27.00,1.00,3,4.00,1.00,Angry,
28.00,1.00,3,2.00,1.00,Angry,
33.00,1.00,3,3.00,1.00,Angry,
34.00,1.00,3,3.00,2.00,Angry,
35.00,1.00,3,2.00,1.00,Angry,
36.00,1.00,3,4.00,1.00,Angry,
37.00,1.00,3,2.00,2.00,Angry,
38.00,2.00,3,3.00,3.00,Angry,
39.00,1.00,3,2.00,1.00,Angry,
40.00,2.00,3,3.00,1.00,Angry,
4.00,1.00,4,4.00,1.00,Angry,
5.00,1.00,4,4.00,1.00,Angry,
7.00,2.00,4,3.00,1.00,Angry,
8.00,2.00,4,3.00,1.00,Angry,
9.00,2.00,4,3.00,1.00,Angry,
12.00,88.00,4,4.00,1.00,Angry,
13.00,1.00,4,3.00,2.00,Angry,
14.00,2.00,4,2.00,1.00,Angry,
15.00,2.00,4,4.00,1.00,Angry,
16.00,2.00,4,4.00,1.00,Angry,
17.00,2.00,4,3.00,1.00,Angry,
18.00,88.00,4,2.00,3.00,Angry,
21.00,1.00,4,3.00,1.00,Angry,
24.00,2.00,4,4.00,1.00,Angry,
25.00,2.00,4,1.00,1.00,Angry,
26.00,88.00,4,3.00,1.00,Angry,
27.00,1.00,4,4.00,1.00,Angry,
28.00,1.00,4,4.00,1.00,Angry,
33.00,1.00,4,4.00,1.00,Angry,
34.00,1.00,4,4.00,1.00,Angry,
35.00,1.00,4,3.00,1.00,Angry,
36.00,1.00,4,4.00,1.00,Angry,
37.00,1.00,4,4.00,2.00,Angry,
38.00,2.00,4,4.00,2.00,Angry,
39.00,1.00,4,3.00,1.00,Angry,
40.00,2.00,4,3.00,1.00,Angry,
4.00,1.00,1.00,2.00,2.00,Happy,
5.00,1.00,1.00,2.00,3.00,Happy,
7.00,2.00,1.00,2.00,2.00,Happy,
8.00,2.00,1.00,1.00,3.00,Happy,
9.00,2.00,1.00,1.00,3.00,Happy,
12.00,88.00,1.00,1.00,2.00,Happy,
13.00,1.00,1.00,1.00,4.00,Happy,
